Cq,SQ,Target
17.668,20000000,SVC
17.71,20000000,SVC
17.689,20000000,SVC
17.982,20000000,SVC
15.552,20000000,SVC
23.564,2000000,SVC
23.777,2000000,SVC
23.995,2000000,SVC
24.331,2000000,SVC
19.375,2000000,SVC
26.772,200000,SVC
26.981,200000,SVC
27.099,200000,SVC
27.308,200000,SVC
24.439,200000,SVC
27.97871017,20000,SVC
28.13231087,20000,SVC
28.11903191,20000,SVC
28.21424866,20000,SVC
27.959,20000,SVC
32.29397202,2000,SVC
32.27801514,2000,SVC
32.38473892,2000,SVC
32.6447525,2000,SVC
31.952,2000,SVC
37.57915878,200,SVC
36.53261185,200,SVC
36.2950058,200,SVC
37.14895248,200,SVC
35.66,200,SVC
35.299,50,SVC
35.734,50,SVC
35.435,50,SVC
35.964,50,SVC
35.975,50,SVC
39.645,20,SVC
39.784,20,SVC
41.609,20,SVC
38.441,20,SVC
36.961,20,SVC
37.651,10,SVC
38.408,10,SVC
38.417,10,SVC
38.58,10,SVC
39.021,10,SVC
NaN,2,SVC
NaN,2,SVC
NaN,2,SVC
NaN,2,SVC
39.981,2,SVC
